"Latitude(deg)","Longitude(deg)","TxxEGM96","TxyEGM96","TxzEGM96","TyyEGM96","TyzEGM96","TzzEGM96"
32.,50.,73.01356318216895,2.4006937724387574,-7.39410682374271,-80.43668779484435,-6.644490343224383,7.423124612675498
32.,50.5,72.41788869133325,1.171214438237523,-6.761842987703874,-71.619505556191,-5.079724027636779,-0.7983831351421309
32.,51.,71.664796475269,0.29021061042813057,-5.849827513692403,-73.34685178848315,-0.7113468889981077,1.68205531321418
32.,51.5,74.3812900280088,-1.633678551972295,-6.312613991909759,-74.26773455093507,-4.141508078557845,-0.11355547707376949
32.,52.,76.87963415944057,-1.9249929096304768,-9.159009767572721,-70.02398005728946,-1.188169654919715,-6.855654102151109
32.5,50.,70.91106573094538,0.9942469396973472,-4.404056962937601,-78.0589363794926,-8.053104917754808,7.1478706485472685
32.5,50.5,74.57332492063134,0.20311802855700345,-4.09851529398312,-70.4593514561409,-7.659883187623744,-4.113973464490462
32.5,51.,76.95394309079003,-0.5590937476940296,-3.159778356623881,-69.1794334883671,-0.845744364875838,-7.774509602422933
32.5,51.5,74.69086724971275,-2.696635408842629,-6.416943216589117,-72.0635789367122,2.5366555944367684,-2.6272883130006273
32.5,52.,71.3004028805066,-0.4959526537565493,-10.518033234069904,-73.71324761616383,1.419442686146969,2.41284473565715
33.,50.,75.62003145931259,-2.3562641828036397,-3.175647765598006,-72.67239125420946,-5.7574631188665135,-2.9476402051033226
33.,50.5,76.62107327968697,-4.187147610537858,-10.892818132522605,-71.03495781494584,-2.479706762785766,-5.5861154647411375
33.,51.,76.20606586359047,0.36488988346471474,-14.996655816148376,-70.61819822477007,-1.337067765345429,-5.587867638820515
33.,51.5,74.62063737788183,2.69294417001839,-9.754072589440517,-70.89643726706471,1.4734769177192653,-3.7242001108172724
33.,52.,74.3194816835065,0.7316718401221696,-5.058258826992346,-74.16834052192353,-0.31799643746167555,-0.15114116158305563
33.5,50.,73.04741796561505,-1.25552373116684,-11.182820072187678,-69.52458210482457,-1.0541038494243187,-3.5228358607903734
33.5,50.5,68.33680343660079,0.9740709523383528,-10.01463341134608,-73.03952858589004,2.409132915912343,4.702725149289277
33.5,51.,65.46149259336697,0.8545205459143251,-6.169579851611294,-73.13986570939177,-4.275532307270175,7.678373116024693
33.5,51.5,69.70942652698754,-1.5123332010664254,-5.911242873171542,-68.33019669587091,-3.432049049806349,-1.3792298311166988
33.5,52.,74.05387087053357,-2.4903793060099084,-9.485627300026263,-71.15806725313514,0.7008808417390233,-2.895803617398425
34.,50.,67.55189618537663,-1.0889218468313677,-6.056528173947657,-71.94312634307225,-0.8876316438522306,4.391230157695594
34.,50.5,72.47640926494536,0.2477280409244444,-5.077899598410184,-73.17549975691989,-5.190375930190717,0.6990904919745204
34.,51.,77.48509842834885,-1.8073414602527362,-3.889967373861323,-67.26724384300529,-5.257855607525278,-10.217854585343455
34.,51.5,76.48482344370997,-3.4047627713807787,-8.640854186093359,-66.39102573795803,4.180990208874495,-10.093797705752008
34.,52.,72.23759905119925,-0.6107997714134172,-11.818636661215573,-73.86668433340613,4.5096847625977565,1.629085282206861
