Latitude(deg),Longitude(deg),TxxEGM96,TxyEGM96,TxzEGM96,TyyEGM96,TyzEGM96,TzzEGM96
32.0,50.0,73.20752467133578083,2.4006937724386963196,-7.3941068237426554888,-80.630649284010846986,-6.6444903432237051685,7.4231246126750661589
32.0,50.5,72.610217382937234578,1.1748687640227112258,-6.7637092288164909058,-71.784222126987932831,-5.0960888587149059888,-0.82599525594930174797
32.0,51.0,71.81044922027333873,0.30054966827398246238,-5.8282429206705503417,-73.58050900739302021,-0.66641378974992018147,1.7700597871196814893
32.0,51.5,74.619354760057039323,-1.6707626654400573715,-6.2644362331027232231,-74.553205861404498254,-4.2805691239465769596,-0.066148898652541073338
32.0,52.0,77.295116442628588639,-1.9965569024418937083,-9.1947432262958877582,-70.080013683677679251,-1.2335399305725421492,-7.2151027589509094018
32.5,50.0,71.117852612681816143,0.99194420926198235743,-4.4266749926371419051,-78.199203442759795235,-7.9913685293277736042,7.0813508300779790897
32.5,50.5,74.763452428546754063,0.20311802855679092531,-4.0985152939829728652,-70.649478964056730106,-7.659883187623976575,-4.1139734644900239323
32.5,51.0,77.191970131072328439,-0.56104097058597875485,-3.1004574476487924105,-69.345785619558904801,-0.83424070469794742187,-7.8461845115134236347
32.5,51.5,74.914975143493079514,-2.7670322941324737658,-6.3850051984033311182,-72.276679730178846603,2.6197499562093314185,-2.6382954133142329043
32.5,52.0,71.412196824451305309,-0.50629508467091210793,-10.652411463005438254,-73.978449281087055211,1.4744521724221121673,2.5662524566357499048
33.0,50.0,75.713856907253721052,-2.3018817381421169285,-3.2864311059886889315,-72.859404730677850187,-5.6784110677359113607,-2.8544521765758708598
33.0,50.5,76.74990164945075052,-4.1345061794406483896,-10.85304351244603715,-71.220866269224826237,-2.4809036091923062265,-5.5290353802259242746
33.0,51.0,76.392890528021937583,0.36488988346483249178,-14.996655816148651342,-70.80502288920144167,-1.3370677653455633764,-5.58786763882049591
33.0,51.5,74.840751269257027128,2.7350235582562514882,-9.7750397083560315643,-71.08529869763612329,1.5027411218447637866,-3.7554525716209038311
33.0,52.0,74.555263670862057989,0.75829768269653139899,-4.9707095598551216917,-74.441697462663632418,-0.32140366490783787463,-0.11356620819842557305
33.5,50.0,73.128613788713183598,-1.2256697005072382098,-11.02650103183418253,-69.791964024971691731,-1.0809360642326702675,-3.336649763741491874
33.5,50.5,68.590943788931998848,0.92929201733311269016,-9.9611968506589558857,-73.155111622186581428,2.2768114209526571202,4.5641678332545825919
33.5,51.0,65.728411863913322427,0.83722103775103268363,-6.1975051411657165166,-73.272825017959689322,-4.2356660540964585784,7.5444131540463668867
33.5,51.5,69.892119533317164417,-1.5123332010663986994,-5.9112428731713673559,-68.512889702200146368,-3.4320490498060570404,-1.3792298311170180509
33.5,52.0,74.266092399914751187,-2.5163878512664221244,-9.4996671430118264165,-71.350684431900216201,0.71238811930551311641,-2.915407968014534981
34.0,50.0,67.877962966287422186,-1.0554375091575900808,-6.0820057755862165583,-72.013753811408429543,-0.89704591680538832714,4.1357908451210073536
34.0,50.5,72.549175016821329035,0.19577964788743934943,-5.1688873416263726241,-73.214312934443056981,-5.0249571861360923703,0.66513791762172794166
34.0,51.0,77.453880377425848688,-1.7830629449085518382,-4.008937960708225539,-67.494941803977270925,-5.1446302732396792393,-9.9589385734485777734
34.0,51.5,76.575551984261891338,-3.3680970064495589772,-8.6390883547965477132,-66.601431022296316566,4.1203509527705935491,-9.9741209619655747866
34.0,52.0,72.411846919013971471,-0.61079977141350316244,-11.818636661215301392,-74.040932201221211816,4.5096847625978443418,1.6290852822072403441
